SNo,tweet_id,label
1,8.50491E+17,abusive
2,8.48792E+17,abusive
3,8.50011E+17,normal
4,8.50434E+17,hateful
5,8.4862E+17,abusive
6,8.50412E+17,abusive
7,8.50449E+17,hateful
8,8.50101E+17,hateful
9,8.47946E+17,hateful
10,8.49283E+17,abusive
11,8.48491E+17,abusive
12,8.50456E+17,abusive
13,8.47534E+17,abusive
14,8.47805E+17,hateful
15,8.49562E+17,abusive
16,8.47851E+17,abusive
17,8.50345E+17,normal
18,8.48669E+17,abusive
19,8.5066E+17,normal
20,8.48638E+17,abusive
21,8.5009E+17,hateful
22,8.4861E+17,abusive
23,8.49637E+17,abusive
24,8.48867E+17,abusive
25,8.48926E+17,normal
26,8.49429E+17,abusive
27,8.50311E+17,abusive
28,8.48456E+17,abusive
29,8.48975E+17,normal
30,8.49055E+17,abusive
31,8.47877E+17,abusive
32,8.50346E+17,normal
33,8.47804E+17,abusive
34,8.48961E+17,abusive
35,8.49338E+17,abusive
36,8.48901E+17,abusive
37,8.48959E+17,abusive
38,8.48687E+17,hateful
39,8.49E+17,abusive
40,8.49967E+17,abusive
41,8.49575E+17,abusive
42,8.50381E+17,hateful
43,8.48653E+17,abusive
44,8.49798E+17,abusive
45,8.50721E+17,abusive
46,8.49107E+17,abusive
47,8.47653E+17,hateful
48,8.49464E+17,abusive
49,8.48712E+17,abusive
50,8.47536E+17,abusive
51,8.48338E+17,normal
52,8.48338E+17,abusive
53,8.50131E+17,abusive
54,8.48602E+17,abusive
55,8.47543E+17,abusive
56,8.50822E+17,abusive
57,8.48208E+17,abusive
58,8.50355E+17,abusive
59,8.48773E+17,abusive
60,8.48678E+17,abusive
61,8.49203E+17,abusive
62,8.48993E+17,abusive
63,8.48555E+17,abusive
64,8.48836E+17,hateful
65,8.48739E+17,abusive
66,8.49014E+17,abusive
67,8.50546E+17,abusive
68,8.49311E+17,hateful
69,8.49368E+17,abusive
70,8.50356E+17,abusive
71,8.48643E+17,abusive
72,8.50451E+17,abusive
73,8.49903E+17,abusive
74,8.50216E+17,hateful
75,8.48989E+17,abusive
76,8.49923E+17,hateful
77,8.47664E+17,hateful
78,8.49328E+17,abusive
79,8.48389E+17,abusive
80,8.49712E+17,abusive
81,8.4776E+17,normal
82,8.4875E+17,abusive
83,8.49428E+17,abusive
84,8.48573E+17,normal
85,8.49813E+17,abusive
86,8.50084E+17,abusive
87,8.47925E+17,abusive
88,8.49116E+17,abusive
89,8.48741E+17,abusive
90,8.4957E+17,abusive
91,8.50026E+17,normal
92,8.50833E+17,abusive
93,8.50585E+17,abusive
94,8.48794E+17,normal
95,8.50055E+17,abusive
96,8.48682E+17,abusive
97,8.50208E+17,abusive
98,8.49624E+17,hateful
99,8.49427E+17,normal
100,8.50163E+17,abusive
101,8.47935E+17,normal
102,8.48039E+17,abusive
103,8.50016E+17,abusive
104,8.48706E+17,hateful
105,8.49174E+17,abusive
106,8.48594E+17,hateful
107,8.4813E+17,abusive
108,8.4857E+17,abusive
109,8.49751E+17,hateful
110,8.4906E+17,abusive
111,8.50509E+17,abusive
112,8.47812E+17,hateful
113,8.50741E+17,hateful
114,8.49092E+17,normal
115,8.49141E+17,abusive
116,8.49761E+17,abusive
117,8.49772E+17,abusive
118,8.49294E+17,abusive
119,8.47941E+17,abusive
120,8.48028E+17,abusive
121,8.47524E+17,abusive
122,8.49504E+17,abusive
123,8.47843E+17,abusive
124,8.50393E+17,abusive
125,8.50403E+17,abusive
